label,case_dir,x_min,x_max,y_mid_abs_max,outer_y_abs_min,outer_y_abs_max,score,middle_mass,outer_mass,total_transition_mass
D=0.1,/home/nst/amarin/Desktop/ABP_Rare_Events/ABPNoiseSweep/data/data/abp_endpoint_conditioned_D0p1,-0.2,0.8,0.2,0.4,1.5,1.2721422981051724,32784461.541679766,41706500.24777314,100539191.10003808
D=0.05,/home/nst/amarin/Desktop/ABP_Rare_Events/ABPNoiseSweep/data/data/abp_endpoint_conditioned_D0p05,-0.2,0.8,0.2,0.4,1.5,2.3801779669054324,15243.087625651331,36281.26131418414,65826.50509717659
D=0.01,/home/nst/amarin/Desktop/ABP_Rare_Events/ABPNoiseSweep/data/data/abp_endpoint_conditioned_D0p01,-0.2,0.8,0.2,0.4,1.5,0.15766445244338181,4.8707792970020646e-24,7.679487508343907e-25,8.993877993164099e-24
