D,p_x_m1_0,p_x_0_to_0p5,p_x_gt_0p5,p_x_gt0,p_gt_0p5_given_gt0
0.02,0.5203592176081412,7.886491238056965e-15,4.110049494674572e-14,4.8986986184802684e-14,0.8390084417868596
0.025,0.5268454017053513,3.385192631746802e-12,4.278817950330587e-11,4.617337213505267e-11,0.9266851764292753
0.04,0.5343324759730006,5.523371765934626e-08,2.1900696328007773e-06,2.2453033504601235e-06,0.975400331697707
0.05,0.5367685692935591,1.257922678118254e-06,8.728148685408406e-05,8.853940953220231e-05,0.9857925111002604
0.06,0.538464646841559,9.668107294217134e-06,0.0006209388142049463,0.0006306069214991635,0.9846685677486178
0.08,0.5423846787579653,0.00013429911972696537,0.008412793302355096,0.008547092422082061,0.984287157188099
0.1,0.5334147119277503,0.0006834017843502863,0.03793811368451607,0.03862151546886636,0.9823051535898121
0.5,0.3133668848733638,0.0935271882626802,0.40060209063209573,0.4941292788947759,0.8107232413511836
